Timestamp,Did you deliberately change your behavior today in an attempt to see an effect on your sleep quality?,"If you answered 'Yes' to the previous question, what behavior change did you do?",How many cups of coffee did you drink today?,"If you had coffee today, at what time did you take your last cup of coffee?",How many alcoholic drinks did you have today?,"If you had alcohol today, at what time did you take your last drink?","If you did a workout today, how intense was the workout?","If you did a workout today, at what time did your last workout end?","If you did a stress-relieving activity today (meditation, yoga, etc), at what time did the last one end?",How would you characterize the activities you did in the last 3 hours before going to bed?,How much did you eat in the last 3 hours before going to bed?,How much stress do you currently feel?,Why do you currently feel stressed?,Did you take medication that might affect your sleep?,"If you answered ‘Yes’ to the previous question, please indicate the taken medication.","If you took medication that might affect your sleep, how long before bedtime did you take it?","If you took medication that might affect your sleep, how much medication did you take?",Is there any particular reason why you think you might or might not sleep well tonight?
11/20/2022 22:11:50,No,,1,12:00,0,,,,,"Stressful, Physically active, Mentally active, Socially active",0,0,,No,,,,
11/21/2022 22:00:33,No,,0,,0,,,,,Relaxed,0,0,,No,,,,
11/22/2022 22:45:14,No,,0,,0,,,,,"Relaxed, Mentally active",0,1,,No,,,,
11/23/2022 23:18:13,No,,0,,0,,3,20:00,,"Physically active, Socially active",0,1,,No,,,,
11/24/2022 22:45:31,No,,0,,0,,,,,Relaxed,0,0,,No,,,,
11/25/2022 23:18:30,No,,0,,0,,,,,"Mentally active, Socially active",0,1,,No,,,,
11/27/2022 0:25:47,No,,0,,0,,,,,Stressful,0,0,,No,,,,
11/27/2022 23:13:18,No,,0,,0,,,,,"Relaxed, Socially active",0,0,,No,,,,
11/28/2022 23:29:47,No,,0,,0,,,,,"Physically active, Socially active",1,1,,No,,,,
11/29/2022 22:55:17,No,,0,,0,,,,,"Relaxed, Mentally active",0,0,,No,,,,
11/30/2022 22:56:52,No,,0,,0,,3,20:00,,"Relaxed, Physically active",0,1,,No,,,,
12/1/2022 22:54:07,No,,0,,0,,,,,"Relaxed, Mentally active",0,1,,No,,,,
12/3/2022 0:45:43,No,,0,,1,19:00,,,,"Physically active, Socially active",3,2,,No,,,,
12/3/2022 22:56:58,No,,0,,0,,,,,Relaxed,0,1,,No,,,,
12/4/2022 22:50:21,No,,0,,0,,,,,Relaxed,0,2,,No,,,,
12/5/2022 23:11:21,No,,0,,0,,,,,"Mentally active, Socially active",0,2,,No,,,,
12/7/2022 0:06:54,No,,0,,0,,,,,"Relaxed, Socially active",0,2,,No,,,,
12/7/2022 23:31:42,No,,0,,0,,3,21:00,,"Relaxed, Socially active",2,2,,No,,,,
12/9/2022 1:24:04,No,,0,,0,,,,,"Physically active, Socially active",2,0,,No,,,,
12/9/2022 23:47:31,No,,0,,4,22:00,,,,"Stressful, Physically active, Socially active",4,1,,No,,,,
12/11/2022 0:29:05,No,,0,,4,23:00,,,,"Mentally active, Socially active",1,2,,No,,,,
12/12/2022 0:57:05,No,,0,,0,,,,,"Stressful, Physically active, Socially active",0,3,,No,,,,
12/13/2022 0:01:16,No,,0,,0,,,,,Mentally active,5,2,,No,,,,
12/13/2022 23:59:07,No,,0,,0,,,,,"Relaxed, Mentally active",0,1,,No,,,,
12/14/2022 22:34:08,No,,0,,0,,3,20:00,,"Relaxed, Physically active",0,2,Busy day coming up,No,,,,
12/16/2022 2:51:06,No,,0,,7,01:00,,,,Socially active,2,1,,No,,,,
12/16/2022 22:17:12,No,,0,,0,,,,,Relaxed,1,1,,No,,,,
12/18/2022 1:12:59,No,,0,,6,00:00,,,,"Stressful, Physically active, Socially active",2,1,,No,,,,
12/18/2022 22:33:58,No,,0,,0,,,,,Relaxed,0,2,,No,,,,
12/19/2022 23:17:23,No,,0,,0,,,,,Stressful,3,2,,No,,,,Time change because of traveling
12/21/2022 0:27:20,No,,0,,1,20:00,,,,"Relaxed, Socially active",0,3,,No,,,,
12/22/2022 1:00:20,No,,0,,4,00:00,,,,"Stressful, Mentally active, Socially active",0,2,,No,,,,
12/22/2022 23:09:08,No,,0,,0,,3,14:00,,"Stressful, Socially active",4,1,,No,,,,
12/23/2022 22:38:53,No,,0,,1,15:00,,,,Relaxed,3,1,,No,,,,
12/25/2022 23:37:01,No,,0,,3,23:00,,,,Relaxed,0,0,,No,,,,
12/26/2022 22:29:51,No,,0,,0,,3,10:00,,Relaxed,2,1,,No,,,,
12/28/2022 1:36:06,No,,0,,5,01:00,,,,"Stressful, Socially active",1,0,,No,,,,
12/28/2022 23:51:32,No,,0,,2,16:00,,,,"Relaxed, Socially active",0,0,,No,,,,
12/30/2022 2:50:56,No,,0,,6,03:00,,,,"Stressful, Physically active, Socially active",0,0,,No,,,,
12/30/2022 22:18:15,No,,0,,0,,,,,"Relaxed, Socially active",3,2,,No,,,,
1/1/2023 3:59:55,No,,0,,5,00:00,3,11:00,,"Stressful, Socially active",0,1,,No,,,,
1/1/2023 21:01:11,No,,0,,1,15:00,,,,Relaxed,4,2,,No,,,,
1/2/2023 22:58:27,No,,0,,1,20:00,2,10:00,,"Relaxed, Socially active",3,2,,No,,,,
1/3/2023 23:54:06,Yes,Drank coffee,1,13:00,2,22:00,,,,Relaxed,0,2,,No,,,,
1/5/2023 2:26:27,No,,0,,0,,,,,"Stressful, Physically active",0,2,,No,,,,
1/5/2023 23:25:58,No,,0,,0,,,,,Relaxed,0,3,,No,,,,
1/7/2023 0:12:53,No,,0,,0,,,,,Relaxed,0,2,,No,,,,
1/7/2023 23:49:04,Yes,Drank coffee,1,12:00,0,,,,,Relaxed,0,2,,No,,,,
1/8/2023 22:27:52,Yes,Drank coffee,1,12:00,0,,4,16:00,,"Relaxed, Mentally active",0,2,,No,,,,
1/9/2023 23:13:43,Yes,Coffee,1,10:00,0,,,,,Socially active,2,3,,No,,,,
1/10/2023 22:13:11,Yes,Coffee ,1,11:00,0,,,,,"Relaxed, Mentally active",0,2,,No,,,,
1/11/2023 22:52:07,Yes,Coffee,1,12:00,0,,4,21:00,,"Physically active, Socially active",0,2,,No,,,,
1/12/2023 22:36:37,Yes,Coffee,1,11:00,0,,,,,Mentally active,1,2,,No,,,,
1/14/2023 1:34:49,Yes,Coffee,1,10:00,5,22:00,,,,"Stressful, Physically active",0,1,,No,,,,
1/15/2023 0:10:38,No,,0,,0,,,,,Stressful,3,2,,No,,,,
1/15/2023 23:09:29,No,,0,,0,,,,,Relaxed,0,2,,No,,,,
1/16/2023 23:25:18,No,,0,,0,,,,,"Relaxed, Mentally active",0,1,,No,,,,
1/17/2023 23:13:57,No,,0,,0,,3,18:00,,"Relaxed, Mentally active",0,0,,No,,,,
1/18/2023 22:35:28,No,,0,,0,,4,20:00,,"Physically active, Mentally active, Socially active",0,2,,No,,,,
1/19/2023 23:02:48,No,,0,,0,,,,,"Relaxed, Mentally active",0,2,,No,,,,
1/20/2023 23:14:35,No,,0,,0,,,,,Relaxed,0,0,,No,,,,
1/22/2023 1:30:10,No,,0,,5,00:00,,,,"Physically active, Socially active",2,2,,No,,,,
1/22/2023 23:18:30,No,,0,,0,,,,,Relaxed,0,1,,No,,,,
1/23/2023 23:15:16,No,,0,,0,,,,,"Relaxed, Socially active",0,2,Studies,No,,,,
1/24/2023 22:38:00,No,,0,,0,,5,18:00,,Mentally active,0,3,Studies,No,,,,
1/25/2023 22:58:16,No,,0,,1,19:00,,,,"Physically active, Socially active",3,2,Studies,No,,,,
1/26/2023 22:48:13,No,,0,,0,,,,,"Stressful, Mentally active",0,3,"Studies, year planning, graduation",No,,,,
1/28/2023 2:30:22,No,,0,,4,02:00,3,09:00,,"Stressful, Physically active, Socially active",1,1,,No,,,,
1/28/2023 22:46:30,No,,0,,1,17:00,,,,Mentally active,3,2,,No,,,,
1/29/2023 23:23:39,No,,0,,0,,3,10:00,,Relaxed,0,1,Studies,No,,,,
1/30/2023 22:51:16,No,,0,,0,,,,,"Relaxed, Mentally active",0,2,Studies,No,,,,
1/31/2023 22:40:46,No,,0,,0,,2,18:00,,"Relaxed, Mentally active",4,2,Studies,No,,,,
2/1/2023 23:30:16,No,,0,,0,,3,20:00,,"Stressful, Mentally active",4,3,Studies,No,,,,
2/2/2023 22:58:46,No,,0,,0,,,,,Relaxed,0,3,,No,,,,
2/3/2023 22:26:10,No,,0,,0,,,,,Relaxed,0,0,,No,,,,
2/4/2023 22:52:16,No,,0,,1,21:00,,,,"Relaxed, Physically active",3,1,,No,,,,
2/5/2023 23:01:41,No,,0,,0,,,,,Relaxed,3,1,Studies,No,,,,
2/6/2023 22:37:48,No,,0,,0,,2,15:00,,"Mentally active, Socially active",0,1,,No,,,,
2/7/2023 22:39:27,No,,0,,0,,3,10:00,,Stressful,2,2,Studies,No,,,,
2/8/2023 23:53:07,No,,0,,0,,,,,"Physically active, Socially active",2,1,,No,,,,
2/10/2023 2:36:31,No,,0,,0,,,,,Socially active,0,1,,No,,,,
2/11/2023 0:14:01,No,,0,,1,23:00,,,,Socially active,3,1,,No,,,,
2/12/2023 21:35:45,No,,0,,0,,,,,Relaxed,0,3,Studies,No,,,,
2/13/2023 23:13:38,No,,0,,0,,,,,"Relaxed, Mentally active",0,2,Studies ,No,,,,
2/14/2023 22:43:32,No,,0,,0,,3,17:00,,"Relaxed, Mentally active",0,2,Studies ,No,,,,
2/15/2023 22:44:36,No,,0,,0,,,,,Relaxed,2,2,Studies,No,,,,
2/17/2023 5:30:41,No,,0,,5,03:00,,,,"Physically active, Socially active",0,2,,No,,,,
2/17/2023 22:26:04,No,,0,,0,,4,17:00,,Relaxed,2,2,,No,,,,
2/18/2023 22:23:22,No,,0,,3,17:00,,,,"Physically active, Socially active",0,1,,No,,,,
2/20/2023 0:05:43,No,,0,,0,,,,,"Physically active, Socially active",0,1,Studies,No,,,,
2/20/2023 22:38:26,No,,0,,0,,,,,Relaxed,3,2,Studies,No,,,,
2/21/2023 22:29:04,No,,0,,0,,3,09:00,,Relaxed,0,1,,No,,,,
2/22/2023 22:22:40,No,,0,,0,,4,20:00,,Physically active,0,2,Studies,No,,,,
2/23/2023 23:39:36,No,,0,,0,,,,,Relaxed,0,2,Studies,No,,,,
2/24/2023 23:09:18,No,,0,,1,19:00,,,,Relaxed,0,1,,No,,,,
2/26/2023 1:55:29,No,,0,,5,00:00,4,12:00,,"Physically active, Socially active",0,1,,No,,,,
2/26/2023 22:55:29,No,,0,,0,,,,,"Relaxed, Mentally active",0,1,,No,,,,
2/28/2023 0:14:51,No,,0,,4,23:00,,,,"Physically active, Socially active",0,2,,No,,,,
2/28/2023 23:24:46,No,,0,,1,21:00,3,18:00,,"Physically active, Socially active",1,3,Studies,No,,,,
